compiler,version,case,optimization,status,compile_exit,load_pointers,decorated_pointers,storage_buffer_capability,spirv_val_exit,source_sha256,spirv_sha256
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_direct,-Od,missing_capability,0,1,1,False,0,343416c9b836f13a25aaf5fab01b068b0db23d708b4eb1360907f8603557bf31,c59b536e97b50b35d8d2babf88aef54de7a23efff3ff8d4519b046d6b8320b89
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_direct,-O3,missing_capability,0,1,1,False,0,343416c9b836f13a25aaf5fab01b068b0db23d708b4eb1360907f8603557bf31,9040762d867aed0f4fef659c924a620c55e4fc1bd3c50d34a58212d51445819a
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_local,-Od,missing_both,0,1,0,False,0,1111f27995d472931cac4526d21aef3f56737959a56adf95e2e505eadbaddf18,097afb0946a38a65b7e09a97c7c575f8c19e55c5651e19d61d8645b9fb91ecdb
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_local,-O3,missing_both,0,1,0,False,0,1111f27995d472931cac4526d21aef3f56737959a56adf95e2e505eadbaddf18,ef95d5239e7a63868e431ccd0f4d28fe002557424ef06a2a6a450f352b949cad
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_index_local,-Od,missing_both,0,1,0,False,0,cae25631df79df1285e5a7cc77565be9ac32c50b580a6d7f5f5fea6029e1619d,5bdf1477b6f16e82d365c44fa6151e72e2ab1241bb32d47c8c078fbf88cb79d1
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_index_local,-O3,missing_both,0,1,0,False,0,cae25631df79df1285e5a7cc77565be9ac32c50b580a6d7f5f5fea6029e1619d,c851594881ebc66a08113cca7e7bab79fb60c1f569f260b22036bbad34e8df7a
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_param,-Od,missing_both,0,1,0,False,0,650d46e37f3e435ad3a69facaafeed8f8d874eda76d6ce3d476ffc3e0082faec,097afb0946a38a65b7e09a97c7c575f8c19e55c5651e19d61d8645b9fb91ecdb
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_param,-O3,missing_both,0,1,0,False,0,650d46e37f3e435ad3a69facaafeed8f8d874eda76d6ce3d476ffc3e0082faec,ef95d5239e7a63868e431ccd0f4d28fe002557424ef06a2a6a450f352b949cad
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_return,-Od,missing_both,0,1,0,False,0,c5e45b4930eead5e64b3754ad8d2c64f2d9b0586ac86ee843679f0d28e6a06c5,097afb0946a38a65b7e09a97c7c575f8c19e55c5651e19d61d8645b9fb91ecdb
D1,libdxcompiler.dylib: 1.10(5180-e3554182)(1.9.0.5180),byte_return,-O3,missing_both,0,1,0,False,0,c5e45b4930eead5e64b3754ad8d2c64f2d9b0586ac86ee843679f0d28e6a06c5,ef95d5239e7a63868e431ccd0f4d28fe002557424ef06a2a6a450f352b949cad
