scene,round,frame,frame_wall_ms
classroom,1,0,24642.752000
classroom,1,1,431.305292
classroom,1,2,432.743875
classroom,1,3,431.690209
classroom,1,4,431.264291
classroom,1,5,435.020959
classroom,1,6,429.062583
classroom,1,7,438.416500
classroom,1,8,431.425459
classroom,1,9,433.198417
classroom,1,10,436.453334
classroom,1,11,437.893917
classroom,1,12,429.713417
classroom,1,13,433.531625
classroom,1,14,435.520041
classroom,1,15,431.060625
classroom,1,16,429.578833
classroom,1,17,430.381500
classroom,1,18,430.251333
classroom,1,19,431.199834
classroom,1,20,432.604208
classroom,1,21,429.828167
classroom,1,22,431.973459
classroom,1,23,429.985500
classroom,1,24,432.723583
classroom,1,25,428.006625
classroom,1,26,431.076042
classroom,1,27,433.114292
classroom,1,28,430.730250
classroom,1,29,432.634333
classroom,1,30,432.799541
classroom,1,31,432.462667
classroom,1,32,433.708750
classroom,1,33,435.381375
classroom,1,34,435.179167
classroom,1,35,431.309333
classroom,1,36,430.769958
classroom,1,37,430.522000
classroom,1,38,430.075208
classroom,1,39,435.280375
classroom,1,40,433.947750
classroom,1,41,437.653333
classroom,1,42,431.720209
classroom,1,43,435.968334
classroom,1,44,433.472542
classroom,1,45,433.662000
classroom,1,46,431.585750
classroom,1,47,433.996292
classroom,1,48,432.456000
classroom,1,49,433.120917
classroom,1,50,435.372125
classroom,1,51,430.951542
classroom,1,52,434.225167
classroom,1,53,431.426041
classroom,1,54,430.418083
classroom,1,55,432.220750
classroom,1,56,433.589500
classroom,1,57,439.217042
classroom,1,58,430.940375
classroom,1,59,437.088208
classroom,1,60,434.055667
classroom,1,61,432.983541
classroom,1,62,432.679584
classroom,1,63,435.469459
classroom,1,64,432.676167
classroom,1,65,431.126792
classroom,1,66,431.952459
classroom,1,67,434.749125
classroom,1,68,435.081375
classroom,1,69,435.067792
classroom,1,70,437.449792
classroom,1,71,430.683125
classroom,1,72,430.236292
classroom,1,73,434.756000
classroom,1,74,433.099500
classroom,1,75,433.633417
classroom,1,76,433.490167
classroom,1,77,430.555833
